study_id,condition
NCT05823441,Social Familiarity
NCT05823441,Analgesia
NCT05108766,Plaque Psoriasis
NCT04359966,Helicobacter Pylori Infection
NCT04359966,Eradication Treatments
NCT00690066,Type 1 Diabetes Mellitus
NCT00690066,Type 1 Diabetes
NCT00690066,"Diabetes Mellitus, Insulin-Dependent"
NCT00690066,Juvenile Diabetes
NCT01880866,Pulmonary Arterial Hypertension
NCT05158166,Adductor Spasmodic Dysphonia
NCT05158166,Voice Disorders
NCT05158166,Spasmodic Dysphonia
NCT06567366,Large B-cell Lymphoma
NCT00648466,Healthy
NCT02771366,Metabolism - Cerebral Energy
NCT02736266,Urothelial Bladder Carcinoma
NCT00575302,Infertility
NCT02809131,Sick Sinus Syndrome
NCT02809131,Complete Heart Block
NCT02809131,Syncope
NCT02809131,Chronic Systolic Heart Failure
NCT03876002,Healthy Volunteers
NCT03876002,Amyotrophic Lateral Sclerosis
NCT01490931,Acute Pain
NCT07079631,Metastatic Colorectal Cancer
NCT02312531,HBV
NCT00207831,Rectal Cancer
NCT00207831,Stage II/III
NCT00207831,T3 or T4 (Only Anal Extension) Rectal Cancer
NCT00207831,N0-2
NCT00207831,M0
NCT01448902,Allergic Rhinitis
NCT02839902,Hyperlipidemia
NCT03165253,Helicobacter Pylori Infection
NCT00322153,Dementia of the Alzheimer's Type
NCT00002253,Diarrhea
NCT00002253,HIV Infections
NCT01718353,Prostate Cancer Metastatic
NCT03214731,Lupus Nephritis
NCT01310231,Metastatic Breast Cancer
NCT04062331,Multiple Sclerosis
NCT04275453,Healthy
NCT01568853,Severe Sepsis
NCT01568853,Pancreatitis
NCT01568853,Abdominal Abscess
NCT01568853,Appendicitis
NCT01568853,Digestive System Fistula
NCT03205553,Gastroschisis
NCT03092453,Melanoma
NCT02773537,"Arthroplasty, Replacement, Knee"
NCT03361345,Postinflammatory Hyperpigmentation
NCT05632445,Left Atrial Appendage Occlusion
NCT00692445,Major Depressive Disorder
NCT00692445,Depression
NCT05716945,Pseudophakic Bullous Keratopathy
NCT05716945,Fuchs' Endothelial Dystrophy
NCT05716945,Intraocular Pressure
NCT00804245,Prostate Cancer
NCT03698045,"Conjunctivitis, Bacterial"
NCT02076672,Asbestos Exposure
NCT02027272,Eclampsia
NCT00471237,Osteoporosis
NCT01031472,"Infection, Human Immunodeficiency Virus"
NCT01031472,HIV Infections
NCT01336972,Autosomal Dominant Polycystic Kidney Disease
NCT06771245,Mild-to-moderate Essential Hypertension
NCT02788045,Healthy
NCT02583672,Gaucher Disease Type 1
NCT03970772,Fasting Hypoglycemia
NCT03970772,"Diabetes Mellitus, Type 1"
NCT04804072,HIV Infections
NCT04804072,Drug Use
NCT04804072,Opioid Use
NCT04804072,Opioid-use Disorder
NCT00757172,Adenocarcinoma of the Gastroesophageal Junction
NCT00757172,Esophageal Cancer
NCT00925639,Menopause
NCT02822339,Sunscreening Agents
NCT02059239,Hodgkin's Lymphoma
NCT02059239,Non-Hodgkin's Lymphoma
NCT01608139,Advanced Cancers
NCT03906539,Dyslipidemias
NCT01469377,Major Depressive Disorder
NCT05109377,Erectile Dysfunction
NCT01854177,Chronic Obstructive Pulmonary Disease
NCT06978777,Brown Adipose Tissue (BAT) Physiology
NCT06978777,Cold Exposure
NCT00835575,Healthy
NCT03552575,Heart Failure
NCT02678975,Glioma
NCT02678975,Glioblastoma
NCT01070875,Thrombosis
NCT04596475,Hepatitis C
NCT04596475,"Hepatitis C Virus Infection, Response to Therapy of"
NCT01011257,Coronary Artery Disease
NCT01789957,Type 2 Diabetes Mellitus
NCT04423757,"Depressive Disorder, Major"
NCT06701357,DLBCL
NCT06828757,Non Small Cell Lung Cancer
NCT04426357,Renal Impairment
NCT02237157,Pancreatic Cancer
NCT07272057,Lung Cancer
NCT07346157,Medulloblastoma
NCT07346157,"Medulloblastoma, Childhood"
NCT07346157,Medulloblastoma Recurrent
NCT00772057,Cirrhosis
NCT05134857,Alcohol Use Disorder (AUD)
NCT03972657,Metastatic Castration-Resistant Prostate Cancer (mCRPC)
NCT03972657,Clear Cell Renal Cell Carcinoma (ccRCC)
NCT04887857,"Leukemia, Myeloid, Acute"
NCT00475657,Small Cell Lung Cancer
NCT04304157,Intravenous Drug Usage
NCT03499457,Penicillin Allergy
NCT06070857,Healthy Subjects
NCT02537457,"Embolism, Atrial Fibrillation and Venous Thrombosis"
NCT03717701,Pre-Eclampsia
NCT02118012,Chronic Hepatitis C
NCT03840512,Prevention aGVHD
NCT03727412,Aneurysm Abdominal
NCT03727412,Endovacular Repair
NCT01310101,Chronic Lymphocytic Leukemia
NCT05123781,Pharmacokinetics
NCT02847481,Irritable Bowel Syndrome
NCT06787781,Metabolic Evaluation
NCT06787781,Cardiac Complications
NCT04383912,Direct Brow Lift
NCT04383912,Scarring
NCT01200212,Breast Cancer
NCT02899130,Chronic Hepatitis B
NCT03394430,Inhalation Anesthesia
NCT07325630,IBI363 + Chemotherapy
NCT00803530,Myelodysplastic Syndromes
NCT05269030,Parosmia
NCT04973930,Major Depressive Disorder
NCT04973930,Breast Cancer
NCT04973930,Venlafaxine
NCT06102928,Non-Small Cell Lung Cancer With Mutation in Epidermal Growth Factor Receptor
NCT03838328,"Thromboses, Deep Vein"
NCT03838328,Tranexamic Acid Adverse Reaction
NCT00951665,Metastatic Breast Cancer
NCT00663728,Erectile Dysfunction
NCT00804830,Thyroid Neoplasms
NCT00804830,Carcinoma
NCT00804830,Thyroid Cancer
NCT00804830,Metastatic Cancer
NCT00825565,Epidermolysis Bullosa
NCT02457130,Coronary Artery Disease
NCT02457130,Diabetes Mellitus. Type 2
NCT05122130,Wound Heal
NCT03068130,Pulmonary Hypertension
NCT00624130,Contraception
NCT06883630,Non-Small Cell Lung Cancer
NCT05865028,Oropharyngeal Dysplasia
NCT05865028,Oral Cavity Dysplasia
NCT05865028,Oral Carcinoma in Situ
NCT02048228,"CLOPIDOGREL, POOR METABOLISM of (Disorder)"
NCT01263028,Chronic Kidney Disease Stages 3-5
NCT01923428,Constipation Predominant Irritable Bowel Syndrome
NCT00574067,Heroin Addiction
NCT03551067,Adenotonsillectomy
NCT04483167,Cardiovascular Diseases
NCT04483167,Atherosclerosis
NCT02950467,Distress
NCT02950467,Depression
NCT02950467,Grief
NCT04539067,Ovarian Stimulation
NCT00713817,Pain
NCT00713817,Peripheral Neuropathy
NCT02749968,Blunt Chest Wall Trauma
NCT02749968,Rib Fracture
NCT02749968,Sternal Fracture
NCT07562568,Acute Myeloid Leukemia
NCT07562568,Acute Lymphoblastic Leukemia
NCT07562568,MDS
NCT07562568,"Transplantation, Stem Cell"
NCT07562568,Conditioning Therapy
NCT07562568,SHR2554
NCT07562568,Azacytidine
NCT03496740,Postoperative Pain
NCT00103740,Paget's Disease of Bone
NCT02971540,Lumbar Disc Disease
NCT03102489,Hypoactive Sexual Desire Disorder(HSDD)
NCT07024589,Healthy Volunteers
NCT05047250,Non-Small Cell Lung Cancer
NCT05204550,COVID-19
NCT01747850,Cannabis Dependence
NCT01052974,Femoral Neck Fracture
NCT00974974,Parkinson's Disease
NCT03958591,Diabetes type2
NCT00613691,Carcinoma
NCT06529718,Biliary Tract Cancer
NCT02164318,End Stage Renal Disease
NCT03057418,"Lymphoma, Non-Hodgkin"
NCT03057418,"Lymphoma, Follicular"
NCT03095118,Membranoproliferative Glomerulonephritis
NCT06004674,Adverse Pregnancy Outcome
NCT02044874,Smoking Cessation
NCT03920618,Hepatitis B
NCT03920618,Acute-On-Chronic Liver Failure
NCT00327418,Major Coronary Event
NCT00327418,Cerebrovascular Accident
NCT00327418,Coronary Artery Bypass Graft
NCT00327418,"Angina, Unstable"
NCT00327418,Revascularization
NCT00270790,Head and Neck Cancer
NCT00520390,Lymphoma
NCT00520390,Advanced Solid Tumors
NCT03523390,Metastatic Solid Tumors
NCT02695290,"Carcinoma, Non-Small-Cell Lung"
NCT02695290,ErbB Receptors
NCT05924997,Advanced Hepatocellular Carcinoma
NCT00567697,Central Retinal Vein Occlusion
NCT00567697,Macular Edema
NCT03379597,Schizophrenia
NCT03379597,Bipolar Disorder
NCT01069510,Congenital Heart Disease
NCT01069510,Heart Failure
NCT01069510,Endomyocardial Fibrosis
NCT02686697,Schizophrenia
NCT05555797,Psoriasis
NCT00000513,Cardiovascular Diseases
NCT00000513,Heart Diseases
NCT00000513,Hypertension
NCT00000513,Vascular Diseases
NCT02471560,"Multiple Sclerosis, Relapsing-Remitting"
NCT02510560,Premature Birth of Newborn
NCT02510560,Intestinal Malabsorption
NCT02283320,KRAS Positive Patients With Non-small Cell Lung Cancer
NCT02283320,Squamous Cell Non-small Cell Lung Cancer
NCT00953420,Nasopharyngeal Carcinoma
NCT06861920,Dysmenorrhea
NCT06861920,Chronic Pelvic Pain
NCT06861920,Pelvic Pain
NCT00121420,Neoplasm Metastasis
NCT00121420,Brain Neoplasms
NCT04597320,Ketamine
NCT04597320,Fentanyl
NCT04597320,Sedation Complication
NCT02626182,Cystic Fibrosis
NCT01508182,Healthy
NCT00175682,Autonomic Dysreflexia
NCT05221320,"Tumor, Solid"
NCT05221320,Gastrointestinal Cancer
NCT04910620,Weight Reduction
NCT03493282,Alzheimer Disease
NCT02029924,Diabetes Mellitus Type 1
NCT03508882,Blepharospasm
NCT03508882,Hemifacial Spasm
NCT03508882,"Botulinum Toxins, Type A"
NCT01948024,Schizophrenia
NCT01948024,Bipolar Disorder
NCT01985724,Breast Cancer
NCT00276159,Acute Lymphoblastic Leukemia
NCT00276159,Acute Myeloid Leukemia
NCT00276159,Non-Hodgkin's Lymphoma
NCT00276159,Hodgkin's Lymphoma
NCT00276159,Multiple Myeloma
NCT00276159,Chronic Lymphocytic Leukemia
NCT06471959,Psilocybin
NCT06471959,"Psychotherapy, Group"
NCT01906580,Chronic Hepatitis B
NCT05036759,Atherosclerosis
NCT06505759,Periodontal Pocket
NCT03736980,Healthy
NCT06307080,Pancreatic Cancer
NCT00860080,Post-surgery Adhesion Formation
NCT02232880,Hypertension
NCT02235662,HIV
NCT02235662,Contraception
NCT02373462,Peripheral Artery Disease With Intermittent Claudication
NCT06484062,Acute Myeloid Leukemia
NCT06484062,Myelodysplastic Syndrome
NCT06484062,Myelodysplastic Syndrome/Acute Myeloid Leukemia
NCT06484062,Recurrent Acute Myeloid Leukemia
NCT06484062,Recurrent Myelodysplastic Syndrome
NCT06484062,Recurrent Myelodysplastic Syndrome/Acute Myeloid Leukemia
NCT06484062,Refractory Acute Myeloid Leukemia
NCT06484062,Refractory Myelodysplastic Syndrome
NCT06484062,Refractory Myelodysplastic Syndrome/Acute Myeloid Leukemia
NCT00730262,Glioblastoma Multiforme
NCT06267846,Major Depressive Disorder
NCT01503788,Post Dural Puncture Headache
NCT03033303,Neuroblastoma
NCT02489903,Small Cell Carcinoma
NCT02489903,"Carcinoma, Non-Small-Cell Lung"
NCT02489903,Neuroendocrine Tumors
NCT02489903,Ovarian Epithelial Cancer
NCT00867503,Ovarian Cancer
NCT00087503,Stomach Neoplasms
NCT02982603,Mild Cognitive Impairment
NCT02982603,Herbal Medicine Allergy
NCT02960503,Sickle Cell Disease
NCT07382427,Onychomycosis of Toenail
NCT05420727,Soft Tissue Sarcoma
NCT01645761,Gastric Ulcer Associated With Helicobacter Pylori
NCT03815461,Locally Advanced Pancreatic Cancer
NCT04124861,Autoimmune Diseases
NCT00401661,Prostatic Hyperplasia
NCT02911142,Primary Effusion Lymphoma
NCT02911142,B-Cell Neoplasm
NCT07088042,Pulpitis - Irreversible
NCT07032142,Cancer
NCT07032142,Toxicity Due to Chemotherapy
NCT05050942,Gastro-enteropancreatic Neuroendocrine Tumor
NCT06305286,Type 1 Diabetes Mellitus
NCT00219986,HIV Infections
NCT00430586,Glabellar Frown Lines
NCT01019486,Coronary Artery Disease
NCT01019486,Type 1 Diabetes Mellitus
NCT00395070,Metastatic Melanoma
NCT02036970,Pulmonary Arterial Hypertension
NCT02036970,Pulmonary Hypertension
NCT02036970,Interstitial Lung Disease
NCT02036970,Idiopathic Interstitial Pneumonia
NCT02036970,Idiopathic Pulmonary Fibrosis
NCT02036970,Sarcoidosis
NCT02036970,Respiratory Bronchiolitis Associated Interstitial Lung Disease
NCT02036970,Desquamative Interstitial Pneumonia
NCT02036970,Cryptogenic Organizing Pneumonia
NCT02036970,Acute Interstitial Pneumonitis
NCT02036970,Idiopathic Lymphoid Interstitial Pneumonia
NCT02036970,Idiopathic Pleuroparenchymal Fibroelastosis
NCT02802969,Skull Base Chordoma
NCT02802969,Vertebral Chordoma
NCT05145569,Ovarian Cancer
NCT00526669,"Neoplasms, Gastrointestinal Tract"
NCT07101783,Overweight
NCT07101783,Obesity
NCT06229483,Brain Tumor
NCT06229483,Bleeding
NCT00419783,Healthy
NCT07290283,Healthy Participants
NCT00408083,Peripheral Vascular Disease
NCT06722183,Colorectal Cancer
NCT03499041,Hepatic Impairment
NCT00152854,Cancer
NCT00152854,Pain
NCT05893654,Uveal Melanoma
NCT00268554,Hyperemia
NCT00268554,Hypoxia
NCT00198354,Non-small Cell Lung Cancer Stage I and II
NCT00198354,Peri-operative Chemotherapy
NCT00001954,Sjogren's Syndrome
NCT00434954,Type 2 Diabetes Mellitus
NCT00864305,Healthy
NCT01475305,RSV Infection
NCT01386294,HIV Prevention
NCT02977494,Multiple Myeloma
NCT03936205,Refractory Pain
NCT03936205,Metastatic Cancer
NCT05752305,Inflammation
NCT05752305,"Pain, Postoperative"
NCT05752305,Trismus
NCT02538705,Ulcers Related to Diabetic Foot Syndrome
NCT03738735,Arthroscopic Shoulder Surgery
NCT03738735,Rotator Cuff Tear
NCT01412008,Stroke
NCT01412008,Muscle Spasticity
NCT04428008,COVID-19
NCT06291935,Retinitis Pigmentosa
NCT04360135,Post Operative Pain
NCT06874335,Solid Tumor
NCT03597217,Healthy
NCT02195817,Alcohol Dependence
NCT03756389,Rosacea
NCT04600089,Descending Aortic Dissection
NCT04600089,Postoperative Pain
NCT04600089,Thoracoabdominal Aortic Aneurysm
NCT00650689,Hypercholesterolemia
NCT00650689,Atherosclerosis
NCT00650689,Coronary Artery Disease
NCT00162240,Diabetes Mellitus
NCT02589340,Parkinson's Disease
NCT02589340,Dyskinesias
NCT02589340,Movement Disorders
NCT01279668,Persistent Cough
NCT01279668,Whooping Cough
NCT04941989,Healthy
NCT00524368,Human Immunodeficiency Virus - Type 1
NCT05361668,Carcinoid Syndrome
NCT05361668,Carcinoid
NCT05361668,Carcinoid Tumor
NCT05361668,Carcinoid Tumor of Ileum
NCT05361668,Carcinoid Tumor of Cecum
NCT05361668,Carcinoid Syndrome Diarrhea
NCT05361668,Carcinoid Intestine Tumor
NCT05361668,Carcinoid Tumor of Liver
NCT05361668,Carcinoid Tumor of Pancreas
NCT00003540,Breast Cancer
NCT05468840,Suicidal Ideation
NCT04537689,Plaque Psoriasis
NCT05557591,Advanced Non-Small Cell Lung Cancer
NCT02401191,Rhinitis Allergic
NCT07266974,"Post Operative Pain, Acute"
NCT07266974,Irreversible Pulpitis
NCT01094574,Pain Measurement
NCT06880874,Healthy
NCT03958474,Opioid Use Disorder
NCT06104618,Metastatic Penile Squamous Cell Carcinoma
NCT06104618,Stage III Penile Cancer AJCC v8
NCT06104618,Stage IV Penile Cancer AJCC v8
NCT06104618,Unresectable Penile Squamous Cell Carcinoma
NCT03108690,Bacteremia
NCT01150890,Crohn's Disease
NCT06923891,Schizophrenia
NCT05412290,B Cell Lymphoma
NCT05412290,Aggressive Lymphoma
NCT05412290,Diffuse Large B Cell Lymphoma
NCT05412290,High-grade B-cell Lymphoma
NCT05412290,Transformed Lymphoma
NCT05412290,Follicular Lymphoma Grade 3
NCT01478490,Pharmacokinetics of Mirabegron
NCT01478490,Healthy Subjects
NCT00919490,HCV Infections
NCT05261997,"Pancreatitis, Chronic"
NCT05261997,Exocrine Pancreatic Insufficiency
NCT05261997,Abdominal Pain
NCT05261997,"Cholangiopancreatography, Endoscopic Retrograde"
NCT04197310,Carcinoid Tumor
NCT04197310,Carcinoid Tumor of GI System
NCT04197310,Neuroendocrine Tumors
NCT03200210,Hyperuricemia
NCT01596010,Menopause
NCT01596010,Healthy
NCT00472810,Glaucoma
NCT00472810,Trabeculectomy
NCT03633760,Pharmacokinetics
NCT02784860,Colonoscopy
NCT04805060,Terminal Malignant Tumors
NCT02151760,Metastatic Prostate Cancer
NCT00067860,Short Bowel Syndrome
NCT01005160,Healthy Male Volunteers
NCT02803060,Sunscreening Agent
NCT06379360,Acute Myeloid Leukemia
NCT01083420,Oral Lichen Planus
NCT01975220,Healthy
NCT05717920,Atopic Dermatitis
NCT01710020,End-Stage Renal Disease
NCT01710020,Hemodialysis
NCT04617782,Healthy Subjects
NCT05696782,Nonsmall Cell Lung Cancer Stage III
NCT05696782,Unresectable Non-Small Cell Lung Carcinoma
NCT05696782,"Nonsmall Cell Lung Cancer, Stage II"
NCT03963882,Neoadjuvant Chemotherapy
NCT03963882,Locally Advanced Cervical Cancer
NCT03963882,Radical Hysterectomy
NCT03963882,Objective Response
NCT03963882,Laparoscopy
NCT03963882,Laparotomy
NCT03963882,Concurrent Chemoradiotherapy
NCT03963882,Adjuvant Therapy
NCT03963882,Systematic Chemotherapy
NCT02846324,Idiopathic Pulmonary Fibrosis
NCT02846324,Hypoxemia
NCT06180382,Crohn's Disease
NCT03756623,Healthy
NCT03979859,Healthy
NCT00134459,Bipolar Disorder
NCT00666159,"Dermatitis, Atopic"
NCT03923959,Hip Fractures
NCT01637259,Proteinuria
NCT01637259,HIV
NCT04428359,Verruca Viral
NCT05047159,"Depressive Disorder, Major"
NCT01218659,Fabry Disease
NCT03418480,Human Papilloma Virus Related Carcinoma
NCT03418480,Head and Neck Neoplasm
NCT03418480,Cervical Neoplasm
NCT03418480,Penile Neoplasms Malignant
NCT03418480,Unknown Primary Tumors
NCT01872780,Healthy
NCT01298180,Prader-Willi Syndrome
NCT01298180,Growth Hormone Deficiency
NCT02858180,"Hepatitis C, Chronic"
NCT02858180,Heart Failure
