study_id,sponsor_name,sponsor_type
NCT04456296,"Endo USA Inc., a Keenova Therapeutics Company",INDUSTRY
NCT04953780,West Virginia University,OTHER
NCT05327296,Sedana Medical,INDUSTRY
NCT07504796,NYU Langone Health,OTHER
NCT05472896,Gao-jun Teng,OTHER
NCT03945279,Biogen,INDUSTRY
NCT06274879,"Insel Gruppe AG, University Hospital Bern",OTHER
NCT06274879,Swiss Cancer League,OTHER
NCT04211896,The First Affiliated Hospital with Nanjing Medical University,OTHER
NCT06133062,Chang Gung Memorial Hospital,OTHER
NCT00658762,Pfizer,INDUSTRY
NCT04744662,ONL Therapeutics,INDUSTRY
NCT03968146,Kasr El Aini Hospital,OTHER
NCT03466346,"University of California, San Francisco",OTHER
NCT03466346,University of Nairobi,OTHER
NCT03466346,National Institute of Mental Health (NIMH),NIH
NCT03466346,Kenya Medical Research Institute,OTHER
NCT03466346,"University of California, San Diego",OTHER
NCT03466346,Makerere University,OTHER
NCT04976088,Fidia Farmaceutici s.p.a.,INDUSTRY
NCT00646503,Novartis,INDUSTRY
NCT01365403,Hoffmann-La Roche,INDUSTRY
NCT06204003,University of Regina,OTHER
NCT06204003,National Football League,OTHER
NCT06204003,My Next Health Inc.,UNKNOWN
NCT00811603,MemorialCare,OTHER
NCT00811603,"University of California, Irvine",OTHER
NCT06224127,Soovu Labs Inc.,INDUSTRY
NCT01730027,Pulmagen Therapeutics,INDUSTRY
NCT03465527,Kosin University Gospel Hospital,OTHER
NCT05990127,Akeso,INDUSTRY
NCT03379727,Novartis Pharmaceuticals,INDUSTRY
NCT02569827,Singapore General Hospital,OTHER
NCT02569827,Duke-NUS Graduate Medical School,OTHER
NCT02569827,60 Degrees Pharmaceuticals LLC,INDUSTRY
NCT00916227,"Array Biopharma, now a wholly owned subsidiary of Pfizer",INDUSTRY
NCT01728961,International Maternal Pediatric Adolescent AIDS Clinical Trials Group,NETWORK
NCT01728961,National Institute of Allergy and Infectious Diseases (NIAID),NIH
NCT01728961,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH
NCT01856361,Weill Medical College of Cornell University,OTHER
NCT05866861,Cugene Inc.,INDUSTRY
NCT05628961,SRI International,INDUSTRY
NCT01679561,"Woman's Health University Hospital, Egypt",OTHER
NCT00773461,Hoffmann-La Roche,INDUSTRY
NCT00424242,Northwestern University,OTHER
NCT00424242,National Cancer Institute (NCI),NIH
NCT04060342,"GB006, Inc., a wholly owned subsidiary of Gossamer Bio, Inc.",INDUSTRY
NCT04060342,Merck Sharp & Dohme LLC,INDUSTRY
NCT03891342,University Hospital Hradec Kralove,OTHER
NCT03891342,University Hospital Pilsen,OTHER
NCT05933642,University of Malaya,OTHER
NCT06361186,Longevity Inc.,INDUSTRY
NCT05004142,"Ahon Pharmaceutical Co., Ltd.",OTHER
NCT05004142,Hebei Medical University Fourth Hospital,OTHER
NCT05004142,The First Hospital of Jilin University,OTHER
NCT05004142,Affiliated Hospital of Hebei University,OTHER
NCT01353742,GlaxoSmithKline,INDUSTRY
NCT03771586,"Supernus Pharmaceuticals, Inc.",INDUSTRY
NCT01805570,David Antoniucci,OTHER
NCT01805570,A.R. CARD Onlus Foundation,OTHER
NCT00621686,Alliance for Clinical Trials in Oncology,OTHER
NCT00621686,National Cancer Institute (NCI),NIH
NCT05228470,Pfizer,INDUSTRY
NCT03733470,Eric A. Hoffman,OTHER
NCT03733470,National Institutes of Health (NIH),NIH
NCT03733470,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT03545373,London School of Hygiene and Tropical Medicine,OTHER
NCT03545373,Kamuzu University of Health Sciences,OTHER
NCT01985373,Prothya Biosolutions,INDUSTRY
NCT05748873,SparingVision,INDUSTRY
NCT01833273,Stony Brook University,OTHER
NCT01833273,Garnett McKeen Laboratory Inc.,INDUSTRY
NCT00234169,"Peter MacCallum Cancer Centre, Australia",OTHER
NCT00234169,The Leukemia and Lymphoma Society,OTHER
NCT01254383,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY
NCT00818883,Takeda,INDUSTRY
NCT04203641,Helix BioPharma Corporation,INDUSTRY
NCT04203641,Theradex,INDUSTRY
NCT05819541,Vanderbilt University Medical Center,OTHER
NCT00095641,SWOG Cancer Research Network,NETWORK
NCT00095641,National Cancer Institute (NCI),NIH
NCT00852241,The Cleveland Clinic,OTHER
NCT03421041,Reproductive & Genetic Hospital of CITIC-Xiangya,OTHER
NCT02938741,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",OTHER
NCT00189241,MEDA Pharma GmbH & Co. KG,INDUSTRY
NCT00247741,St. Antonius Hospital,OTHER
NCT00367341,Emory University,OTHER
NCT00367341,National Institute of Mental Health (NIMH),NIH
NCT00857454,Eli Lilly and Company,INDUSTRY
NCT04704154,Bayer,INDUSTRY
NCT04704154,"Bristol Myers Squibb Co. and Ono Pharmaceutical Co., Ltd",UNKNOWN
NCT04302454,University Medical Center Groningen,OTHER
NCT04302454,Dutch Cancer Society,OTHER
NCT03002805,CBA Research,INDUSTRY
NCT00235105,"Charite University, Berlin, Germany",OTHER
NCT00235105,Abbott,INDUSTRY
NCT01419405,Oslo University Hospital,OTHER
NCT00003505,Burzynski Research Institute,OTHER
NCT01745354,Robert Lowsky,OTHER
NCT05346354,"Alexion Pharmaceuticals, Inc.",INDUSTRY
NCT05693454,Balgrist University Hospital,OTHER
NCT05351905,"University Health Network, Toronto",OTHER
NCT01679405,Johannes Gutenberg University Mainz,OTHER
NCT07101705,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER
NCT07101705,"OriCell Therapeutics Co., Ltd.",INDUSTRY
NCT00103194,National Cancer Institute (NCI),NIH
NCT07615283,Sun Yat-sen University,OTHER
NCT05823441,Peking University People's Hospital,OTHER
NCT05108766,"Shenzhen Kangzhe Pharmaceutical Co., Ltd.",INDUSTRY
NCT04359966,Slovenian Society for Gastroenterology and Hepatology,OTHER
NCT04359966,KRKA,INDUSTRY
NCT00690066,"Mesoblast, Inc.",INDUSTRY
NCT00690066,Juvenile Diabetes Research Foundation,OTHER
NCT01880866,"University of California, San Francisco",OTHER
NCT05158166,"University of California, San Francisco",OTHER
NCT06567366,Ruijin Hospital,OTHER
NCT00648466,Mylan Pharmaceuticals Inc,INDUSTRY
NCT02771366,University of Florida,OTHER
NCT02771366,Osato Research Institute,OTHER
NCT02736266,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",OTHER
NCT02736266,Merck Sharp & Dohme LLC,INDUSTRY
NCT00575302,Centre Hospitalier Chretien,OTHER
NCT00575302,EMD Serono,INDUSTRY
NCT02809131,Vanderbilt University Medical Center,OTHER
NCT02809131,Thomas Jefferson University,OTHER
NCT02809131,The Cooper Health System,OTHER
NCT02809131,Valley Health System,OTHER
NCT02809131,Medtronic,INDUSTRY
NCT03876002,Molecular NeuroImaging,OTHER
NCT01490931,"Hersh, Elliot V., DMD, MS, PhD",INDIV
NCT07079631,BioNTech SE,INDUSTRY
NCT07079631,Genmab,INDUSTRY
NCT02312531,Xi'an Jiaotong University,OTHER
NCT00207831,Institut Cancerologie de l'Ouest,OTHER
NCT00207831,Merck Sharp & Dohme LLC,INDUSTRY
NCT01448902,Oxagen Ltd,INDUSTRY
NCT02839902,Takeda,INDUSTRY
NCT03165253,Bulent Ecevit University,OTHER
NCT00322153,Forest Laboratories,INDUSTRY
NCT00002253,Sandoz,INDUSTRY
NCT01718353,Sanofi,INDUSTRY
NCT03214731,Sun Yat-sen University,OTHER
NCT03214731,The First People's Hospital of Yunnan,OTHER
NCT03214731,The First Affiliated Hospital of Nanchang University,OTHER
NCT03214731,General Hospital of Ningxia Medical University,OTHER
NCT03214731,First Affiliated Hospital of Fujian Medical University,OTHER
NCT03214731,Shenzhen Second People's Hospital,OTHER
NCT03214731,The Third Xiangya Hospital of Central South University,OTHER
NCT03214731,Tongji Hospital,OTHER
NCT01310231,Ozmosis Research Inc.,INDUSTRY
NCT01310231,Breast Cancer Research Foundation,OTHER
NCT04062331,Maimónides Biomedical Research Institute of Córdoba,OTHER
NCT04062331,Isaac Tunez-Fiñana,UNKNOWN
NCT04062331,Eduardo Agüera-Morales,UNKNOWN
NCT04275453,University of Pennsylvania,OTHER
NCT01568853,"Jinling Hospital, China",OTHER
NCT03205553,University of Arkansas,OTHER
NCT03092453,University of Pennsylvania,OTHER
NCT02773537,Medical University of South Carolina,OTHER
NCT03361345,Wayne State University,OTHER
NCT05632445,DR. XAVIER FREIXA,OTHER
NCT00692445,Targacept Inc.,INDUSTRY
NCT05716945,Maastricht University Medical Center,OTHER
NCT00804245,Wake Forest University Health Sciences,OTHER
NCT00804245,National Cancer Institute (NCI),NIH
NCT03698045,Laboratorios Sophia S.A de C.V.,INDUSTRY
NCT02076672,Ontario Clinical Oncology Group (OCOG),OTHER
NCT02076672,Aboca Spa Societa' Agricola,INDUSTRY
NCT02027272,University of Mississippi Medical Center,OTHER
NCT00471237,GlaxoSmithKline,INDUSTRY
NCT01031472,ViiV Healthcare,INDUSTRY
NCT01031472,GlaxoSmithKline,INDUSTRY
NCT01336972,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY
NCT06771245,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",INDUSTRY
NCT02788045,Janssen Vaccines & Prevention B.V.,INDUSTRY
NCT02583672,University of Minnesota,OTHER
NCT02583672,Rare Diseases Clinical Research Network,NETWORK
NCT02583672,National Center for Advancing Translational Sciences (NCATS),NIH
NCT02583672,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT02583672,National Institute of Neurological Disorders and Stroke (NINDS),NIH
NCT02583672,Lysosomal Disease Network,OTHER
NCT03970772,Qassim University,OTHER
NCT04804072,HIV Prevention Trials Network,NETWORK
NCT04804072,National Institute of Allergy and Infectious Diseases (NIAID),NIH
NCT04804072,National Institute on Drug Abuse (NIDA),NIH
NCT00757172,Alliance for Clinical Trials in Oncology,OTHER
NCT00757172,National Cancer Institute (NCI),NIH
NCT00757172,Amgen,INDUSTRY
NCT00925639,Federal University of São Paulo,OTHER
NCT02822339,Bayer,INDUSTRY
NCT02059239,Weill Medical College of Cornell University,OTHER
NCT01608139,M.D. Anderson Cancer Center,OTHER
NCT01608139,Sabinsa Corporation,INDUSTRY
NCT03906539,"All India Institute of Medical Sciences, Bhubaneswar",OTHER
NCT03906539,"Coconut Development Board, Government of India",UNKNOWN
NCT01469377,Forest Laboratories,INDUSTRY
NCT01469377,Gedeon Richter Ltd.,INDUSTRY
NCT05109377,Ankara Training and Research Hospital,OTHER
NCT01854177,Dartmouth-Hitchcock Medical Center,OTHER
NCT06978777,"University Hospital, Basel, Switzerland",OTHER
NCT00835575,Teva Pharmaceuticals USA,INDUSTRY
NCT03552575,NHS Greater Glasgow and Clyde,OTHER
NCT03552575,University of Glasgow,OTHER
NCT02678975,Sahlgrenska University Hospital,OTHER
NCT02678975,St. Olavs Hospital,OTHER
NCT02678975,Lund University Hospital,OTHER
NCT02678975,Karolinska University Hospital,OTHER
NCT02678975,"University Hospital, Linkoeping",OTHER
NCT02678975,Region Örebro County,OTHER
NCT02678975,Ryhov County Hospital,OTHER
NCT02678975,Uppsala University Hospital,OTHER
NCT01070875,Centre hospitalier de l'Université de Montréal (CHUM),OTHER
NCT04596475,"University of California, San Diego",OTHER
NCT01011257,"Neil Kleiman, MD",OTHER
NCT01789957,AstraZeneca,INDUSTRY
NCT04423757,Boehringer Ingelheim,INDUSTRY
NCT06701357,Ruijin Hospital,OTHER
NCT06828757,Hunan Province Tumor Hospital,OTHER
NCT04426357,"Janssen Pharmaceutica N.V., Belgium",INDUSTRY
NCT02237157,RenovoRx,INDUSTRY
NCT07272057,Shanghai Chest Hospital,OTHER
NCT07346157,"Sabine Mueller, MD, PhD",OTHER
NCT00772057,Govind Ballabh Pant Hospital,OTHER_GOV
NCT05134857,Washington State University,OTHER
NCT03972657,Regeneron Pharmaceuticals,INDUSTRY
NCT04887857,Celgene,INDUSTRY
NCT04887857,AbbVie,INDUSTRY
NCT00475657,Eli Lilly and Company,INDUSTRY
NCT04304157,South Valley University,OTHER
NCT04304157,Tanta University,OTHER
NCT03499457,Clalit Health Services,OTHER
NCT06070857,Vigonvita Life Sciences,INDUSTRY
NCT02537457,Bayer,INDUSTRY
NCT03717701,Aswan University Hospital,OTHER
NCT02118012,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT03840512,"Kalytera Therapeutics Israel, Ltd.",INDUSTRY
NCT03727412,University of Thessaly,OTHER
NCT01310101,Brno University Hospital,OTHER
NCT01310101,University Hospital Hradec Kralove,OTHER
NCT01310101,Faculty Hospital Kralovske Vinohrady,OTHER_GOV
NCT01310101,"General Teaching Hospital, Prague",OTHER
NCT05123781,"Joint Stock Company ""Farmak""",INDUSTRY
NCT02847481,Beth Israel Deaconess Medical Center,OTHER
NCT02847481,OpenBiome,INDUSTRY
NCT06787781,University of Messina,OTHER
NCT04383912,Nova Scotia Health Authority,OTHER
NCT04383912,Dalhousie University,OTHER
NCT01200212,GBG Forschungs GmbH,OTHER
NCT02899130,Composite Interceptive Med Science,INDUSTRY
NCT03394430,Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University,OTHER
NCT07325630,Zhejiang Cancer Hospital,OTHER
NCT00803530,Fondazione Italiana Sindromi Mielodisplastiche-ETS,OTHER
NCT00803530,Centro di Riferimento per l'Epidemiologia e la Prev. Oncologica Piemonte,OTHER
NCT05269030,Menoufia University,OTHER
NCT04973930,New York State Psychiatric Institute,OTHER
NCT04973930,Columbia University,OTHER
NCT06102928,Kunming Medical University,OTHER
NCT03838328,SHI Jia,OTHER
NCT00951665,"Genentech, Inc.",INDUSTRY
NCT00663728,Bayer,INDUSTRY
NCT00663728,GlaxoSmithKline,INDUSTRY
NCT00804830,Region Skane,OTHER
NCT00825565,Northwestern University,OTHER
NCT00825565,Ann & Robert H Lurie Children's Hospital of Chicago,OTHER
NCT02457130,Spanish Society of Cardiology,OTHER
NCT02457130,AstraZeneca,INDUSTRY
NCT05122130,Salma Nabil,OTHER
NCT03068130,Biogen,INDUSTRY
NCT00624130,Bayer,INDUSTRY
NCT06883630,"RemeGen Co., Ltd.",INDUSTRY
NCT05865028,Elizabeth J Franzmann,OTHER
NCT05865028,"Aveta Biomics, Inc.",INDUSTRY
NCT02048228,Chinese PLA General Hospital,OTHER
NCT01263028,Kaiser Permanente,OTHER
NCT01923428,Ardelyx,INDUSTRY
NCT00574067,"Friends Research Institute, Inc.",OTHER
NCT00574067,National Institute on Drug Abuse (NIDA),NIH
NCT03551067,Suez Canal University,OTHER
NCT04483167,"University Hospital, Grenoble",OTHER
NCT02950467,Joshua Woolley,OTHER
NCT02950467,Heffter Research Institute,OTHER
NCT02950467,RiverStyx Foundation,OTHER
NCT02950467,Usona Institute,OTHER
NCT02950467,Stupski Foundation,OTHER
NCT04539067,Minia University,OTHER
NCT00713817,Jazz Pharmaceuticals,INDUSTRY
NCT02749968,University of Cincinnati,OTHER
NCT02749968,United States Air Force,FED
NCT07562568,The First Affiliated Hospital of Soochow University,OTHER
NCT03496740,Kocaeli University,OTHER
NCT00103740,Novartis Pharmaceuticals,INDUSTRY
NCT02971540,Medical University of Silesia,OTHER
NCT02971540,Silesian University of Medicine,OTHER
NCT03102489,Ivix LLX,INDUSTRY
NCT07024589,"AN2 Therapeutics, Inc",INDUSTRY
NCT05047250,Hoffmann-La Roche,INDUSTRY
NCT05204550,Murdoch Childrens Research Institute,OTHER
NCT05204550,University of Melbourne,OTHER
NCT05204550,"Northern Hospital, Australia",OTHER
NCT05204550,Monash University,OTHER
NCT05204550,The Peter Doherty Institute for Infection and Immunity,OTHER
NCT05204550,St Vincent's Hospital Melbourne,OTHER
NCT01747850,Centre for Addiction and Mental Health,OTHER
NCT01747850,National Institute on Drug Abuse (NIDA),NIH
NCT01052974,"University Hospital, Angers",OTHER_GOV
NCT00974974,"Impax Laboratories, LLC",INDUSTRY
NCT03958591,Yanbing Li,OTHER
NCT00613691,"Spectrum Pharmaceuticals, Inc",INDUSTRY
NCT06529718,UNICANCER,OTHER
NCT06529718,Cancer Research UK & UCL Cancer Trials Centre,OTHER
NCT06529718,Belgian Group of Digestive Oncology,OTHER
NCT06529718,Summit Therapeutics,INDUSTRY
NCT02164318,Duke University,OTHER
NCT02164318,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT03057418,Biointegrator LLC,INDUSTRY
NCT03095118,Fernando Fervenza,OTHER
NCT06004674,Endeavor Health,OTHER
NCT02044874,Arena Pharmaceuticals,INDUSTRY
NCT03920618,"Third Affiliated Hospital, Sun Yat-Sen University",OTHER
NCT00327418,Pfizer,INDUSTRY
NCT00327418,Diabetes UK,OTHER
NCT00327418,"Department of Health, United Kingdom",OTHER_GOV
NCT00270790,Mohan Suntharalingam,OTHER
NCT00270790,MedImmune LLC,INDUSTRY
NCT00520390,"Enzon Pharmaceuticals, Inc.",INDUSTRY
NCT03523390,"Merck KGaA, Darmstadt, Germany",INDUSTRY
NCT02695290,Boehringer Ingelheim,INDUSTRY
NCT05924997,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,OTHER
NCT00567697,Aleris Helse,OTHER
NCT00567697,Novartis,INDUSTRY
NCT03379597,Central South University,OTHER
NCT01069510,Oregon Health and Science University,OTHER
NCT01069510,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT01069510,Oregon Clinical and Translational Research Institute,OTHER
NCT02686697,Abraham Reichenberg,OTHER
NCT02686697,Stanley Medical Research Institute,OTHER
NCT05555797,Assiut University,OTHER
NCT00000513,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT02471560,Biogen,INDUSTRY
NCT02510560,Elgan Pharma Ltd.,INDUSTRY
NCT02283320,BIND Therapeutics,INDUSTRY
NCT00953420,Baylor College of Medicine,OTHER
NCT00953420,The Methodist Hospital Research Institute,OTHER
NCT00953420,"Center for Cell and Gene Therapy, Baylor College of Medicine",OTHER
NCT00953420,M.D. Anderson Cancer Center,OTHER
NCT06861920,Endeavor Health,OTHER
NCT06861920,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH
NCT06861920,University of Chicago,OTHER
NCT06861920,University of Oklahoma,OTHER
NCT00121420,Pharmacyclics LLC.,INDUSTRY
NCT04597320,Peking University,OTHER
NCT02626182,National Jewish Health,OTHER
NCT01508182,"Janssen Research & Development, LLC",INDUSTRY
NCT00175682,University of British Columbia,OTHER
NCT05221320,"BioMed Valley Discoveries, Inc",INDUSTRY
NCT04910620,National Taiwan University Hospital,OTHER
NCT03493282,Cognition Therapeutics,INDUSTRY
NCT03493282,National Institute on Aging (NIA),NIH
NCT02029924,Adocia,INDUSTRY
NCT03508882,The University of Hong Kong,OTHER
NCT03508882,"Food and Health Bureau, Hong Kong",OTHER_GOV
NCT01948024,Sun Pharmaceutical Industries Limited,INDUSTRY
NCT01948024,"bioRASI, LLC",INDUSTRY
NCT01985724,Hellenic Oncology Research Group,OTHER
NCT01985724,University Hospital of Crete,OTHER
NCT00276159,"Masonic Cancer Center, University of Minnesota",OTHER
NCT00276159,Pfizer,INDUSTRY
NCT06471959,Empower Research Inc,INDUSTRY
NCT06471959,Empower Psychedelics,UNKNOWN
NCT06471959,"Centre for Neurology Studies, Canada",UNKNOWN
NCT06471959,Mitacs,INDUSTRY
NCT01906580,Beijing 302 Hospital,OTHER
NCT05036759,Peking Union Medical College Hospital,OTHER
NCT06505759,Krishnadevaraya College of Dental Sciences & Hospital,OTHER
NCT03736980,University of Zurich,OTHER
NCT06307080,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",OTHER
NCT00860080,PharmaSurgics AB,INDUSTRY
NCT02232880,Vanderbilt University Medical Center,OTHER
NCT02232880,Bristol-Myers Squibb,INDUSTRY
NCT02235662,CONRAD,OTHER
NCT02373462,Yonsei University,OTHER
NCT06484062,National Cancer Institute (NCI),NIH
NCT00730262,Thallion Pharmaceuticals,INDUSTRY
NCT06267846,Neurocrine Biosciences,INDUSTRY
NCT01503788,Tel-Aviv Sourasky Medical Center,OTHER_GOV
NCT03033303,Memorial Sloan Kettering Cancer Center,OTHER
NCT03033303,Y-mAbs Therapeutics,INDUSTRY
NCT02489903,"EpicentRx, Inc.",INDUSTRY
NCT00867503,University of Arizona,OTHER
NCT00867503,Cephalon,INDUSTRY
NCT00087503,Pfizer,INDUSTRY
NCT02982603,"Dongzhimen Hospital, Beijing",OTHER
NCT02960503,Vanderbilt University,OTHER
NCT07382427,Onyx Axiom,INDUSTRY
NCT05420727,John O. Prior,OTHER
NCT01645761,Chuncheon Sacred Heart Hospital,OTHER
NCT03815461,Chinese Academy of Medical Sciences,OTHER
NCT04124861,Peking Union Medical College Hospital,OTHER
NCT04124861,Chinese PLA General Hospital,OTHER
NCT04124861,Peking University People's Hospital,OTHER
NCT04124861,The People's Hospital of Hebei Province,OTHER
NCT04124861,Shengjing Hospital,OTHER
NCT04124861,Tongji Hospital,OTHER
NCT00401661,Sanofi,INDUSTRY
NCT02911142,National Cancer Institute (NCI),NIH
NCT07088042,Ain Shams University,OTHER
NCT07032142,D'Or Institute for Research and Education,OTHER
NCT07032142,Conselho Nacional de Desenvolvimento Científico e Tecnológico,OTHER_GOV
NCT05050942,Camurus AB,INDUSTRY
NCT06305286,University of Chicago,OTHER
NCT06305286,Juvenile Diabetes Research Foundation,OTHER
NCT06305286,Cure Alliance,UNKNOWN
NCT06305286,Breakthrough T1D,OTHER
NCT06305286,Eledon Pharmaceuticals,INDUSTRY
NCT00219986,Rockefeller University,OTHER
NCT00430586,Merz Pharmaceuticals GmbH,INDUSTRY
NCT01019486,"University of Colorado, Denver",OTHER
NCT00395070,Vical,INDUSTRY
NCT02036970,Biogen,INDUSTRY
NCT02802969,Institut Curie,OTHER
NCT05145569,Haider Mahdi,OTHER
NCT05145569,HCW Biologics,INDUSTRY
NCT00526669,GlaxoSmithKline,INDUSTRY
NCT07101783,Novo Nordisk A/S,INDUSTRY
NCT06229483,Stephen Lownie,OTHER
NCT06229483,Dalhousie University,OTHER
NCT00419783,"Faes Farma, S.A.",INDUSTRY
NCT07290283,AstraZeneca,INDUSTRY
NCT07290283,Parexel,INDUSTRY
NCT00408083,"Bracco Diagnostics, Inc",INDUSTRY
NCT06722183,Institut für Klinische Krebsforschung IKF GmbH at Krankenhaus Nordwest,OTHER
NCT06722183,"Universitätsmedizin Mainz, I. Medizinische Klinik, Forschungslabor Prof. Möhler",UNKNOWN
NCT03499041,Eli Lilly and Company,INDUSTRY
NCT03499041,AstraZeneca,INDUSTRY
NCT00152854,"University Health Network, Toronto",OTHER
NCT05893654,Hospital das Clínicas de Ribeirão Preto,OTHER
