study_id,intervention_name,intervention_type
NCT07079631,Bevacizumab,DRUG
NCT02312531,Hepatitis B immunoglobulin,DRUG
NCT00207831,Tegafur and Uracil,DRUG
NCT01448902,OC000459,DRUG
NCT01448902,Placebo,DRUG
NCT02839902,TAK-085,DRUG
NCT02839902,Not treated with omega-3-acid ethyl esters,OTHER
NCT03165253,Bifidobacterium Animalis Oral Product,DRUG
NCT03165253,Amoxicillin Oral Tablet,DRUG
NCT03165253,Clarithromycin Oral Tablet,DRUG
NCT03165253,Omeprazole,DRUG
NCT00322153,memantine ER,DRUG
NCT00322153,Placebo,DRUG
NCT00002253,Octreotide,DRUG
NCT01718353,DOCETAXEL (XRP6976),DRUG
NCT01718353,CABAZITAXEL (XRP6258),DRUG
NCT01718353,Prednisone,DRUG
NCT03214731,Artesunate,DRUG
NCT03214731,placebo,OTHER
NCT01310231,Metformin,DRUG
NCT01310231,Placebo,DRUG
NCT04062331,Transcranial Magnetic Stimulation (TMS),DEVICE
NCT04062331,Placebos,DRUG
NCT04275453,FDG,DRUG
NCT04275453,Ketone Drink,DIETARY_SUPPLEMENT
NCT04275453,Ketogenetic Diet,OTHER
NCT01568853,Norepinephrine,DRUG
NCT01568853,Open abdomen,PROCEDURE
NCT01568853,enteral nutrition,OTHER
NCT01568853,parenteral nutrition,OTHER
NCT03205553,SoC Staged Silo Closure,PROCEDURE
NCT03205553,Peritoneal Dialysis Solution/Dextrose 1.5%,DRUG
NCT03092453,Mature dendritic cell (DC) vaccine,BIOLOGICAL
NCT03092453,Cyclophosphamide 300mg/m^2,DRUG
NCT03092453,Pembrolizumab,DRUG
NCT02773537,Femoral nerve catheter and sciatic nerve block,DRUG
NCT02773537,Adductor canal catheter and selective tibial block,DRUG
NCT02773537,Adductor canal catheter only,DRUG
NCT03361345,Tranexamic Acid,DRUG
NCT03361345,Vehicle,DRUG
NCT05632445,Apixaban vs. DAPT,DRUG
NCT00692445,TC-5214 + citalopram,DRUG
NCT00692445,Placebo + citalopram,DRUG
NCT05716945,Fluorometholone 0.1% Oph Susp,DRUG
NCT05716945,Dexamethasone 0.1% ophthalmic suspension,DRUG
NCT05716945,Stop steroids,OTHER
NCT00804245,needle biopsy,PROCEDURE
NCT00804245,PET-CT scans supplemented with 11C-Choline tracer,DRUG
NCT03698045,PRO-143 Ophthalmic Solution,DRUG
NCT02076672,Artichoke WPC,DRUG
NCT02027272,Dexamethasone,DRUG
NCT00471237,Ronacaleret,DRUG
NCT00471237,Teriparatide,DRUG
NCT00471237,Alendronate,DRUG
NCT01031472,GSK2248761 formulation 1,DRUG
NCT01031472,GSK2248761 reference formulation,DRUG
NCT01031472,GSK2248761 formulation 3,DRUG
NCT01031472,GSK2248761 formulation 2 or 4,DRUG
NCT01336972,Tolvaptan,DRUG
NCT06771245,SYH9056,DRUG
NCT06771245,Levamlodipine,DRUG
NCT06771245,Valsartan,DRUG
NCT06771245,SYH9056 placebo,DRUG
NCT06771245,Levamlodipine placebo,DRUG
NCT06771245,valsartan placebo,DRUG
NCT02788045,Ad26.Mos.HIV,BIOLOGICAL
NCT02788045,Ad26.Mos4.HIV,BIOLOGICAL
NCT02788045,Clade C gp140,BIOLOGICAL
NCT02788045,Placebo,DRUG
NCT02583672,N-acetylcysteine,DRUG
NCT03970772,Glucagon Injection,DRUG
NCT03970772,Glucose Tablets,OTHER
NCT04804072,Medication for opioid-use disorder (MOUD) for opioid-use disorder (OUD),DRUG
NCT04804072,HIV testing,DIAGNOSTIC_TEST
NCT04804072,HIV treatment for participants living with HIV not already in care,DRUG
NCT04804072,PrEP for participants without HIV,DRUG
NCT04804072,Testing and referral for vaccination or treatment for hepatitis A virus (HAV) and hepatitis B virus (HBV),DIAGNOSTIC_TEST
NCT04804072,Testing and referral for treatment for hepatitis C virus (HCV),DIAGNOSTIC_TEST
NCT04804072,Sexually transmitted infection (STI) testing and treatment,DIAGNOSTIC_TEST
NCT04804072,Primary care,OTHER
NCT04804072,Harm reduction services,BEHAVIORAL
NCT04804072,Peer navigation,BEHAVIORAL
NCT04804072,"COVID-19 testing and referral for further evaluation, care and/or treatment",DIAGNOSTIC_TEST
NCT00757172,panitumumab,BIOLOGICAL
NCT00757172,cisplatin,DRUG
NCT00757172,docetaxel,DRUG
NCT00757172,neoadjuvant therapy,PROCEDURE
NCT00757172,therapeutic conventional surgery,PROCEDURE
NCT00757172,radiation therapy,RADIATION
NCT00925639,Isoflavone,DRUG
NCT00925639,Placebo,DRUG
NCT02822339,BAY987517,DRUG
NCT02059239,Bendamustine,DRUG
NCT02059239,Carmustine,DRUG
NCT02059239,Etoposide,DRUG
NCT02059239,Melphalan,DRUG
NCT02059239,Cytarabine,DRUG
NCT02059239,Alemtuzumab,DRUG
NCT02059239,Autologous Stem Cell Transplantation,BIOLOGICAL
NCT02059239,Allogeneic Stem Cell Transplantation,BIOLOGICAL
NCT02059239,Rituximab,DRUG
NCT01608139,Curcumin,DRUG
NCT01608139,Sorafenib,DRUG
NCT01608139,Vorinostat,DRUG
NCT03906539,Atorvastatin 10mg,DRUG
NCT03906539,Virgin Coconut Oil (VCO),DIETARY_SUPPLEMENT
NCT03906539,Placebo,OTHER
NCT01469377,Placebo,DRUG
NCT01469377,Cariprazine,DRUG
NCT05109377,Endocan,DIAGNOSTIC_TEST
NCT05109377,tadalafil,DRUG
NCT01854177,Aprepitant,DRUG
NCT01854177,Placebo,DRUG
NCT06978777,Caffeine (200 mg),DRUG
NCT06978777,Placebo,DRUG
NCT00835575,Mirtazapine 15 mg (Orally Disintegrating) Tablets,DRUG
NCT00835575,REMERON SolTab® 15 mg Orally Disintegrating Tablets,DRUG
NCT03552575,sacubitril/valsartan,DRUG
NCT03552575,Valsartan,DRUG
NCT02678975,Disulfiram,DRUG
NCT02678975,Copper,DIETARY_SUPPLEMENT
NCT02678975,Alkylating Agents,DRUG
NCT01070875,Variation of heparin dose,DRUG
NCT04596475,glecaprevir/pibrentasvir (GLE/PIB),DRUG
NCT01011257,Asprin,DRUG
NCT01011257,Clopidogrel,DRUG
NCT01789957,AC2993,DRUG
NCT04423757,BI 1358894,DRUG
NCT04423757,Placebo,DRUG
NCT06701357,CR-CHOP+PD1 inhibitor,DRUG
NCT06701357,CR-CHOP + Orelabrutinib,DRUG
NCT06701357,CR-CHOP + decitabine,DRUG
NCT06828757,nanocrystalline megestrol oral suspension + PD-1/L1 inhibitor combined with chemotherapy,DRUG
NCT06828757,PD-1/L1 inhibitor combined with chemotherapy,DRUG
NCT04426357,JNJ-64417184,DRUG
NCT02237157,"Gemcitabine, local delivery",DRUG
NCT07272057,SGLT-2 inhibitor,DRUG
NCT07272057,Sham (No Treatment),OTHER
NCT07346157,Liothyronine (L-T3),DRUG
NCT07346157,Bevacizumab,DRUG
NCT07346157,Irinotecan,DRUG
NCT07346157,Temozolomide (TMZ),DRUG
NCT00772057,Propranolol,DRUG
NCT00772057,Placebo,DRUG
NCT05134857,Zonisamide,DRUG
NCT05134857,Placebo,DRUG
NCT03972657,REGN5678,DRUG
NCT03972657,Cemiplimab,DRUG
NCT04887857,CC-486,DRUG
NCT04887857,Venetoclax,DRUG
NCT00475657,pemetrexed,DRUG
NCT00475657,cisplatin,DRUG
NCT04304157,Dexmedetomidine,DRUG
NCT03499457,Amoxicillin,DRUG
NCT06070857,LV232,DRUG
NCT06070857,Placebo,DRUG
NCT02537457,Rivaroxaban (BAY 59-7939),DRUG
NCT02537457,"Rivaroxaban (Xarelto, BAY 59-7939)",DRUG
NCT03717701,metformin,DRUG
NCT03717701,esomeprazole,DRUG
NCT03717701,Placebo,DRUG
NCT02118012,Chlorcyclizine HCl,DRUG
NCT02118012,Ribavirin,DRUG
NCT03840512,CBD,DRUG
NCT03727412,"Drugs, Generic (Naprosyn)",DRUG
NCT03727412,Placebo Oral Tablet,DRUG
NCT01310101,ofatumumab plus dexamethasone,DRUG
NCT05123781,"Metformin 1000 mg Prolonged Release Tablets (JSC Farmak, Ukraine)",DRUG
NCT05123781,"Glucophage® XR 1000 mg Prolonged Release Tablets (Merck Serono Ltd, UK)",DRUG
NCT02847481,fecal microbiota transplantation,PROCEDURE
NCT02847481,placebo fecal microbiota transplantation,DRUG
NCT02847481,FMT with antibiotic pre-treatment (v1),PROCEDURE
NCT02847481,FMT with antibiotic pre-treatment (v2),PROCEDURE
NCT06787781,Alpha Lipoic Acid,DRUG
NCT04383912,Botox Injectable Product,DRUG
NCT04383912,No intervention (placebo),OTHER
NCT01200212,"Taxane, Avastin",DRUG
NCT01200212,"Taxane, Avastin, Xeloda",DRUG
NCT02899130,Polyherbal,DRUG
NCT02899130,Placebo,DRUG
NCT03394430,Placebos,DRUG
NCT03394430,Midazolam,DRUG
NCT03394430,Dexmedetomidine,DRUG
NCT07325630,IBI363 + chemotherapy,DRUG
NCT00803530,ATO + Ascorbic acid,DRUG
NCT05269030,Ivermectin Topical,DRUG
NCT05269030,Budesonide Nasal,DRUG
NCT04973930,Interpersonal Psychotherapy,BEHAVIORAL
NCT04973930,Venlafaxine HCl ER,DRUG
NCT06102928,Combined therapy of anlotinib and aumolertinib,DRUG
NCT03838328,Tranexamic Acid,DRUG
NCT00951665,paclitaxel,DRUG
NCT00951665,pertuzumab [Perjeta],DRUG
NCT00951665,trastuzumab emtansine [Kadcyla],DRUG
NCT00663728,"Levitra (Vardenafil, BAY38-9456)",DRUG
NCT00663728,Placebo,DRUG
NCT00804830,Bevacizumab,DRUG
NCT00825565,Alwextin cream,DRUG
NCT02457130,Ticagrelor,DRUG
NCT02457130,Clopidogrel,DRUG
NCT05122130,Melatonin,DRUG
NCT05122130,Carbopol,DRUG
NCT03068130,Bardoxolone methyl,DRUG
NCT00624130,Yasmin 20,DRUG
NCT00624130,Mercilon,DRUG
NCT06883630,RC148 plus Carboplatin and Paclitaxel/pemetrexed,DRUG
NCT06883630,RC148,DRUG
NCT05865028,APG-157,DRUG
NCT02048228,"genotyping guided therapy Ticagrelor, Clopidogrel",DRUG
NCT02048228,standard therapy clopidogrel,DRUG
NCT01263028,Ergocalciferol supplementation,DRUG
NCT01923428,AZD1722,DRUG
NCT01923428,Placebo,DRUG
NCT00574067,Buprenorphine +OTP,DRUG
NCT00574067,Buprenorphine +CHC,DRUG
NCT00574067,Counseling +OTP,DRUG
NCT00574067,Counseling +CHC,DRUG
NCT03551067,Dexmedetomidine,DRUG
NCT03551067,Midazolam/Ketamine,COMBINATION_PRODUCT
NCT04483167,99mTccAbVCAM1-5 injection,DRUG
NCT02950467,Psilocybin,DRUG
NCT02950467,Modified brief Supportive Expressive Group Therapy,BEHAVIORAL
NCT04539067,HHMG,DRUG
NCT00713817,Sativex®,DRUG
NCT00713817,Placebo,DRUG
NCT02749968,Liposomal bupivacaine,DRUG
NCT02749968,0.9% sodium chloride,DRUG
NCT07562568,SHR2554/AZA + Overlapped TBF,COMBINATION_PRODUCT
NCT07562568,mBUCY conditioning regimen,DRUG
NCT03496740,Penile Block,PROCEDURE
NCT03496740,Pudendal Block,PROCEDURE
NCT03496740,Bupivacaine (Block Drug),DRUG
NCT00103740,zoledronic acid,DRUG
NCT00103740,placebo to zoledronic acid,DRUG
NCT00103740,Risedronate,DRUG
NCT00103740,Placebo to risedronate,DRUG
NCT00103740,Calcium and vitamin D supplements,DRUG
NCT02971540,Metamizol,DRUG
NCT02971540,Tramadol,DRUG
NCT02971540,Bupivacaine,DRUG
NCT02971540,Ropivacaine,DRUG
NCT02971540,control group,OTHER
NCT03102489,BP101,DRUG
NCT03102489,Placebo,DRUG
NCT07024589,AN2-502998,DRUG
NCT07024589,Placebo,DRUG
NCT05047250,Atezolizumab,DRUG
NCT05204550,unfractionated heparin,DRUG
NCT05204550,0.9%sodium chloride,DRUG
NCT01747850,Motivational Enhancement/Cognitive Behavioral Therapy,BEHAVIORAL
NCT01747850,Sativex,DRUG
NCT01747850,Placebo spray,DRUG
NCT01052974,ropivacaine,DRUG
NCT00974974,IPX066,DRUG
NCT00974974,IR CD-LD,DRUG
NCT03958591,"CSII and thereafter combination therapy, followed up with wearable devices",DRUG
NCT03958591,CSII and thereafter combination therapy,DRUG
NCT03958591,Basal insulin treatment without wearables,DRUG
NCT00613691,SPI-1620,DRUG
NCT06529718,Ivonescimab,DRUG
NCT06529718,FOLFOX regimen,DRUG
NCT02164318,Handgrip training,OTHER
NCT02164318,Nitroglycerin ointment,DRUG
NCT03057418,Aurixim,DRUG
NCT03095118,Daratumumab,DRUG
NCT06004674,Lovenox 40mg,DRUG
NCT02044874,APD356-lorcaserin hydrochloride,DRUG
NCT02044874,Placebo,DRUG
NCT03920618,Entecavir,DRUG
NCT03920618,Tenofovir Disoproxil Fumarate,DRUG
NCT03920618,Tenofovir Alafenamide,DRUG
NCT00327418,Atorvastatin,DRUG
NCT00270790,Amifostine,DRUG
NCT00270790,Carboplatin,DRUG
NCT00270790,Taxol,DRUG
NCT00270790,Radiotherapy,DEVICE
NCT00520390,EZN-2208,DRUG
NCT03523390,Avelumab 3 mg/kg Q2W,DRUG
NCT03523390,Avelumab 10 mg/kg Q2W,DRUG
NCT03523390,Avelumab 20 mg/kg Q2W,DRUG
NCT03523390,Avelumab 10 mg/kg QW,DRUG
NCT02695290,Afatinib,DRUG
NCT05924997,"adebrelimab, camrelizumab plus apatinib",DRUG
NCT00567697,ranibizumab,DRUG
NCT03379597,"Bifico (Live combined bifidobacterium,Lactobacillus and Enterococcus capsules, Oral)",DRUG
NCT03379597,Dietary fiber,DIETARY_SUPPLEMENT
NCT01069510,Spironolactone 25mg,DRUG
NCT01069510,Placebo,OTHER
NCT02686697,L-Carnosine,DRUG
